team_id,season,T_j_hat,roster_n,draftees
36,2012,0.08578625281826925,11,0
36,2013,0.32419766577479725,10,1
36,2014,0.2111789025556161,10,0
36,2015,0.06852086769914417,11,0
36,2016,0.2190603484878163,11,0
36,2017,0.2055564806179543,10,0
36,2018,0.11572912515339115,10,0
36,2019,-0.0021036588772232745,12,0
36,2020,0.41925231620535275,10,0
36,2021,0.25034539140597334,9,0
38,2011,0.2601403638455814,11,2
38,2012,-0.07578897089336242,11,2
38,2013,-0.058317254574302146,11,2
38,2014,0.04467713249563784,12,2
38,2015,0.1996886282126531,11,0
38,2016,0.2971885795315664,10,1
38,2017,0.08795380572977794,11,2
38,2018,0.06669312294094837,11,2
38,2019,0.08007651019333227,11,1
38,2020,-0.07435578250375624,11,1
38,2021,0.10242914878806503,13,0
39,2020,0.4478836568836481,5,0
40,2018,-0.8123324853644244,5,0
40,2020,-1.0501301276873583,3,0
41,2011,0.0015936883867965692,11,4
41,2012,0.12233959682370332,9,5
41,2013,-0.2549874499995456,11,2
41,2014,-0.021133559513131873,13,2
41,2015,-0.11128315459592941,11,1
41,2016,0.05155817559954692,11,1
41,2017,0.13428303466273453,10,0
41,2018,-0.25997935445611425,12,0
41,2019,-0.08439904584768751,13,0
41,2020,0.21043917003118912,10,1
41,2021,0.18083965124523912,11,1
42,2011,-0.4719813927109435,13,0
42,2012,-0.2610901670999013,12,0
42,2013,-0.06297850758729835,11,0
42,2014,-0.14476681124043184,12,0
42,2015,-0.2238877279542372,12,0
42,2016,-0.2846758773239129,14,0
42,2017,-0.08009586589202307,12,0
42,2018,-0.33018723500690433,12,0
42,2019,0.26696267325718187,12,0
42,2020,-0.11502110905245322,10,0
42,2021,-0.10220864485195821,11,0
43,2011,-0.09705715303596592,12,0
43,2012,0.002674739230336405,16,0
43,2013,0.33007978732429594,14,0
43,2014,-0.03227535149476238,15,0
43,2015,0.0793928520525752,14,0
43,2016,-0.018396867848016626,15,0
43,2017,0.15520844991554203,12,1
43,2018,0.12369238601625289,13,1
43,2019,0.010531975992826587,16,1
43,2020,0.36763602954494023,15,0
44,2011,-0.33375171369319684,12,0
44,2012,-0.059480848186458914,12,0
44,2013,-0.3121296592674309,12,0
44,2014,-0.18590697057310998,12,0
44,2015,-0.27538145076185927,11,0
44,2016,-0.3565607588068459,11,0
44,2017,-0.3334368812683612,11,0
44,2018,-0.46150274665285274,11,0
44,2019,-0.023670199269367254,10,0
44,2020,0.05520378137470614,12,0
44,2021,-0.15478397314475095,10,0
45,2011,-0.03585254464498275,12,0
45,2012,-0.15737739213585938,11,0
45,2013,0.26464236099129584,11,0
45,2014,0.27299811465052964,12,0
45,2015,-0.06677661339354064,12,0
45,2016,-0.018533182337769814,11,0
45,2017,-0.11532335826409412,12,0
45,2018,-0.06583892270602949,11,0
45,2019,-0.2243822975217733,12,0
45,2020,-0.21641995098159872,14,0
45,2021,-0.169424455239188,12,0
46,2011,0.12551551652734694,12,0
46,2012,0.14293142918189172,12,1
46,2013,-0.10217618136118642,11,1
46,2014,-0.035852668542242824,12,0
46,2015,0.04780490552856584,12,0
46,2016,-0.061590790677763074,12,0
46,2017,-0.025263728336757274,12,0
46,2018,0.1719859036944267,10,0
46,2019,0.24920946685664233,11,0
46,2020,0.26272841523249885,14,0
46,2021,-0.1525514773998888,13,0
47,2011,-0.46986085759510227,13,0
