stage,n_teams,roster_size,target_mean_dist,target_mean_low,target_mean_high,assignment_kernel,assignment_temperature,preferential_alpha,ability_draw,n_selected,score_mode,loo_gap_weight,winner_selection,n_bins,bin_mode,loo_pool_l_mode,n_runs,seed,peak_bin,peak_y,first_bin_y,final_y,tail_drop_frac,left_lift_frac,tail_slope_last3,interior_peak,moderate_downturn,n_individuals,viability_theta,curve_bin_l_col,coverage_peak,median_pool_sd,curve_x,curve_y,curve_n
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,1.0,C,12,quantile,quality,40,538001,0,0.186904761904762,0.186904761904762,0.13266129032258062,0.29021984795561995,0.0,-0.014112903225806439,False,False,750,0.7546158731868137,poolq_loo,35.0,0.49139764858797186,"[-1.5160366, -0.97145493, -0.69890703, -0.46996464, -0.25672813, -0.07173556, 0.09414525, 0.27128527, 0.47202987, 0.69390573, 0.98890903, 1.54187019]","[0.18690476, 0.17782258, 0.16785714, 0.1516129, 0.1718254, 0.17379032, 0.1547619, 0.14677419, 0.16111111, 0.14677419, 0.14761905, 0.13266129]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,1.0,C,12,quantile,crowding,40,538001,11,0.48104838709677394,0.040476190476190464,0.48104838709677394,0.0,0.9158583802339042,0.21008064516129,False,False,750,0.7546158731868137,pool_c_loo,35.0,0.49139764858797186,"[0.0, 0.0, 0.0, 0.00457949, 0.02174036, 0.05996544, 0.10660431, 0.18228687, 0.29237528, 0.45276498, 0.68098073, 0.93173963]","[0.04047619, 0.03669355, 0.03452381, 0.03991935, 0.05833333, 0.10040323, 0.15674603, 0.17741935, 0.23412698, 0.27096774, 0.29166667, 0.48104839]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,1.0,C,12,equal_width,quality,40,538001,2,0.18197399745623707,0.16128659821279187,0.17528529913291585,0.036756341108183814,0.11368327086632428,0.029044297092677668,True,False,750,0.7546158731868137,poolq_loo,35.0,0.49139764858797186,"[-1.81330772, -1.40315334, -1.08413538, -0.77360111, -0.4474685, -0.11436441, 0.20982499, 0.54202587, 0.8618539, 1.19049213, 1.48351539, 1.94603141]","[0.1612866, 0.16681, 0.181974, 0.17356314, 0.16157819, 0.16474817, 0.15369739, 0.15497183, 0.15419806, 0.146241, 0.09538265, 0.1752853]","[1116.0, 992.0, 2016.0, 3017.0, 3822.0, 4516.0, 4800.0, 3601.0, 2513.0, 1821.0, 996.0, 790.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,1.0,C,12,equal_width,crowding,40,538001,11,0.5453126584115436,0.05413749234582223,0.5453126584115436,0.0,0.9007221059134758,0.2995893423757276,False,False,750,0.7546158731868137,pool_c_loo,35.0,0.49139764858797186,"[0.01700403, 0.14285714, 0.21428571, 0.28571429, 0.35714286, 0.46107698, 0.57142857, 0.64285714, 0.71428571, 0.78571429, 0.85714286, 0.97215822]","[0.05413749, 0.23992332, 0.2823043, 0.3031482, 0.24058994, 0.28035726, 0.32671233, 0.24064517, 0.30028075, 0.24572332, 0.2767741, 0.54531266]","[16356.0, 2130.0, 1776.0, 1598.0, 1198.0, 1741.0, 707.0, 694.0, 695.0, 612.0, 680.0, 1813.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,empirical_530,120,ability,0.0,C,12,quantile,quality,40,538001,11,0.455241935483871,0.0035714285714285713,0.455241935483871,0.0,0.9921548778944704,0.13346774193548389,False,False,750,0.7546158731868137,poolq_loo,46.0,0.6721483672153585,"[-1.10839018, -0.79209133, -0.60022478, -0.44483056, -0.3068984, -0.1510869, 0.01886068, 0.17924397, 0.34402692, 0.52124548, 0.72309129, 1.0329351]","[0.00357143, 0.01330645, 0.01785714, 0.03225806, 0.04285714, 0.07822581, 0.11825397, 0.16290323, 0.24047619, 0.32177419, 0.43492063, 0.45524194]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,empirical_530,120,ability,0.0,C,12,quantile,crowding,40,538001,11,0.4584677419354839,0.03214285714285713,0.4584677419354839,0.0,0.9298906897851489,0.14354838709677414,False,False,750,0.7546158731868137,pool_c_loo,46.0,0.6721483672153585,"[0.0, 0.0, 0.0, 0.00449309, 0.02936508, 0.06756912, 0.10385488, 0.16322005, 0.23835034, 0.33323733, 0.44648526, 0.61031106]","[0.03214286, 0.0233871, 0.02857143, 0.02620968, 0.04880952, 0.07983871, 0.1015873, 0.16330645, 0.23650794, 0.31491935, 0.40793651, 0.45846774]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,empirical_530,120,ability,0.0,C,12,equal_width,quality,40,538001,11,0.5622889886730256,0.0037683150183150187,0.5622889886730256,0.0,0.9932982592684092,0.1090223394329885,False,False,750,0.7546158731868137,poolq_loo,46.0,0.6721483672153585,"[-1.25692535, -1.01068443, -0.79784111, -0.57453941, -0.35701701, -0.12902328, 0.10001006, 0.32238915, 0.54454055, 0.7584485, 0.97558423, 1.23685854]","[0.00376832, 0.00503161, 0.0094995, 0.0187009, 0.03673067, 0.09364877, 0.15330961, 0.23550573, 0.31405714, 0.45326665, 0.44048597, 0.56228899]","[1185.0, 1493.0, 2507.0, 3104.0, 4007.0, 3577.0, 3335.0, 3234.0, 3014.0, 2095.0, 1484.0, 965.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,empirical_530,120,ability,0.0,C,12,equal_width,crowding,40,538001,10,0.6075703980013011,0.028951852145576207,0.052500000000000005,0.9135902602024275,0.9523481521798661,-0.4456699077512463,True,True,750,0.7546158731868137,pool_c_loo,46.0,0.6721483672153585,"[0.00346953, 0.08392857, 0.15535714, 0.22744361, 0.28571429, 0.35005497, 0.43167702, 0.46785714, 0.52955665, 0.58823529, 0.66014392, 0.7397619]","[0.02895185, 0.0997963, 0.16417316, 0.24573795, 0.34377966, 0.30600292, 0.38738136, 0.46710007, 0.39140589, 0.49816991, 0.6075704, 0.0525]","[12403.0, 4507.0, 2820.0, 2065.0, 1483.0, 1840.0, 689.0, 1238.0, 825.0, 903.0, 940.0, 287.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,empirical_530,120,ability,0.0,C,12,quantile,quality,40,538001,11,0.7278225806451615,0.010714285714285714,0.7278225806451615,0.0,0.9852789869410369,0.43951612903225823,False,False,750,0.7546158731868137,poolq_loo,40.0,0.4543305235869971,"[-1.50699647, -0.87179804, -0.6024207, -0.42637306, -0.26968187, -0.11806288, 0.0389381, 0.19204619, 0.34938971, 0.51904578, 0.76733214, 1.34920279]","[0.01071429, 0.00524194, 0.00634921, 0.00766129, 0.01666667, 0.03669355, 0.06309524, 0.12016129, 0.18253968, 0.28830645, 0.45833333, 0.72782258]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,empirical_530,120,ability,0.0,C,12,quantile,crowding,40,538001,11,0.7225806451612906,0.01785714285714285,0.7225806451612906,0.0,0.9752869897959184,0.4435483870967745,False,False,750,0.7546158731868137,pool_c_loo,40.0,0.4543305235869971,"[0.0, 0.0, 0.0, 0.0, 0.00104875, 0.01494816, 0.05362812, 0.10745968, 0.19109977, 0.31226959, 0.51482426, 0.80253456]","[0.01785714, 0.01491935, 0.01150794, 0.01612903, 0.01626984, 0.02903226, 0.05952381, 0.11290323, 0.18452381, 0.27903226, 0.45912698, 0.72258065]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,empirical_530,120,ability,0.0,C,12,equal_width,quality,40,538001,11,0.8369905988998129,0.008773187786979829,0.8369905988998129,0.0,0.9895181764305218,0.24956540983748,False,False,750,0.7546158731868137,poolq_loo,40.0,0.4543305235869971,"[-2.0201815, -1.56419768, -1.23297048, -0.92930776, -0.60748929, -0.26370675, 0.06515364, 0.40737247, 0.73448559, 1.05783486, 1.32921855, 1.80528979]","[0.00877319, 0.00730063, 0.03736213, 0.00473866, 0.01010623, 0.03102985, 0.09258409, 0.23635185, 0.43977682, 0.58742519, 0.71659635, 0.8369906]","[818.0, 648.0, 1254.0, 2263.0, 3638.0, 5524.0, 5155.0, 4726.0, 2845.0, 1529.0, 623.0, 977.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,empirical_530,120,ability,0.0,C,12,equal_width,crowding,40,538001,10,0.7416008047076647,0.026237818946924896,0.7088849617394553,0.04411516648920819,0.9646200236294677,0.23099245306134292,True,False,750,0.7546158731868137,pool_c_loo,40.0,0.4543305235869971,"[0.01292687, 0.13928571, 0.21071429, 0.28205128, 0.35281385, 0.44414315, 0.54489796, 0.61776062, 0.6969697, 0.74789916, 0.82875536, 0.92666811]","[0.02623782, 0.14831158, 0.23867812, 0.3218265, 0.40250568, 0.42095444, 0.44458625, 0.59424165, 0.48030052, 0.47789251, 0.7416008, 0.70888496]","[18610.0, 2341.0, 1654.0, 1209.0, 891.0, 1530.0, 699.0, 685.0, 479.0, 467.0, 607.0, 828.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,empirical_530,120,loo_gap_plus_ability,0.5,C,12,quantile,quality,40,538001,10,0.31230158730158747,0.06904761904761905,0.271774193548387,0.12977005369512723,0.778907242693774,0.01975806451612888,True,True,750,0.7546158731868137,poolq_loo,46.0,0.6721483672153585,"[-1.10839018, -0.79209133, -0.60022478, -0.44483056, -0.3068984, -0.1510869, 0.01886068, 0.17924397, 0.34402692, 0.52124548, 0.72309129, 1.0329351]","[0.06904762, 0.07379032, 0.07619048, 0.09314516, 0.09603175, 0.12419355, 0.15833333, 0.17137097, 0.22222222, 0.25201613, 0.31230159, 0.27177419]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
