RELDPTH	PARENTUIC	UIC	EDATE	SHORTDSCR	LONGDSCR	ORGTYPENAME	OFF	WO	ENL	CIV	AUTHTOT	CATCODE	SERVICE	GFMCOMPO	UTCAT	UTARMYCAT	UTSIZE	UTGFMSIZE	ID	PARENTID	FYDATE
7		DDAAUC		OASD(R&E)	"Technology Development Staff Element, Federal Ministry, Military"	"Technology Development Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231389	72060574745231397	20160930
7		DDAAMA		ODUSD(I&E)	"Installation Support Staff Element, Federal Ministry, Military"	"Installation Support Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC	LOG		OFC		72060574745231390	72060574745231397	20160930
7		DDAAUH		OASD(L&MR)	"Logistics Staff Element, Federal Ministry, Military"	"Logistics Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC	LOG		OFC		72060574745231391	72060574745231397	20160930
7		DDAAUA		OASD(A)	"Acquisition Staff Element, Federal Ministry, Military"	"Acquisition Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231392	72060574745231397	20160930
6				OUSD(P)	"Principle Policy Staff Element, Federal Ministry, Military"	"Principle Policy Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231401	72060755133858478	20160930
7		DDAABD		OASD(GSA)	"Strategic Defense Policy Staff Element, Federal Ministry, Military"	"Strategic Defense Policy Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745541658	72060574745231401	20160930
6				OUSD(C)/CFO	"Principle Financial Staff Element, Federal Ministry, Military"	"Principle Financial Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231398	72060755133858478	20160930
6				OUSD(P&R)	"Principle Personnel Staff Element, Federal Ministry, Military"	"Principle Personnel Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC	PRSNL		OFC		72060574745231400	72060755133858478	20160930
7		DDAAFA		OASD(HA)	"Military Health System Staff Element, Federal Ministry, Military"	"Military Health System Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231379	72060574745231400	20160930
7		DDAABD		OASD(R&FM)	"Readiness and Force Policy Staff Element, Federal Ministry, Military"	"Readiness and Force Policy Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC	PRSNL		OFC		72060574747094395	72060574745231400	20160930
6				OUSD(I)	"Principle Intelligence Staff Element, Federal Ministry, Military"	"Principle Intelligence Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231399	72060755133858478	20160930
6				ODCMO	"Principle Business Improvement Staff Element, Federal Ministry, Military"	"Principle Business Improvement Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060755133884644	72060755133858478	20160930
6				OASD(LA)	"Principle Liaison Staff Element, Federal Ministry, Military"	"Principle Liaison Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231383	72060755133858478	20160930
6				ODODCIO	"Principle Information Technology Staff Element, Federal Ministry, Military"	"Principle Information Technology Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231384	72060755133858478	20160930
6				OASD(PA)	"Principle Media Staff Element, Federal Ministry, Military"	"Principle Media Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231385	72060755133858478	20160930
6				OGC-DOD	"Principle Legal Staff Element, Federal Ministry, Military"	"Principle Legal Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC	PRSNL		OFC		72060574745231395	72060755133858478	20160930
6				ODOT&E	"Independent Testing Staff Element, Federal Ministry, Military"	"Independent Testing Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231372	72060755133858478	20160930
6				OIG-DOD	"Principle Internal Review Staff Element, Federal Ministry, Military"	"Principle Internal Review Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231370	72060755133858478	20160930
6				OATSD(IO)	"Special Oversight Staff Element, Federal Ministry, Military"	"Special Oversight Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231380	72060755133858478	20160930
6				ODCAPE	"Principle Internal Evaluation Staff Element, Federal Ministry, Military"	"Principle Internal Evaluation Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231402	72060755133858478	20160930
6				ODA&M	"Principle Administration Staff Element, Federal Ministry, Military"	"Principle Administration Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231388	72060755133858478	20160930
6				ODNA	"Principle National Assessment Staff Element, Federal Ministry, Military"	"Principle National Assessment Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231396	72060755133858478	20160930
5				OSD Ctl Act	"Headquarters, Military Federal Ministry Controlled Activities"	"Headquarters, Military Federal Ministry Controlled Activities"						EXCMIL	CVLSVC	WSOC			ELEMT		72060755133884657	72060755133863247	20160930
6		DDAAUS		DARPA	"Technology Development Agency, Federal Ministry, Military"	"Technology Development Agency, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			AGY		72060574745231364	72060755133884657	20160930
6		DCAAQB		DeCA	"Retail and Grocery Store Support Agency, Federal Ministry, Military"	"Retail and Grocery Store Support Agency, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC	SUPPLY		AGY		72060759428874336	72060755133884657	20160930
6		DRAAAA		DCAA	"Accounting Support Agency, Federal Ministry, Military"	"Accounting Support Agency, Federal Ministry, Military"	0	0	0	0	0	EXCMIL	CVLSVC	WSOC			AGY		72060759428874344	72060755133884657	20160930
6		DTAAAA		DCMA	"Acquisition Combat Support Agency, Federal Ministry, Military"	"Acquisition Combat Support Agency, Federal Ministry, Military"	0	0	0	0	0	UNIT	JOINT	WSOC	COMSPT	ADMIN	AGY		72060755133863232	72060755133884657	20160930
6		DFAS00		DFAS	"Finance and Payroll Agency, Federal Ministry, Military"	"Finance and Payroll Agency, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC	PRSNL		AGY		72060574745231366	72060755133884657	20160930
6		DKAAAA		DISA	"Information Technology Combat Support Agency, Federal Ministry, Military"	"Information Technology Combat Support Agency, Federal Ministry, Military"	0	0	0	0	0	UNIT	JOINT	WSOC	COMSPT	HQSIGS	AGY		72060759428874341	72060755133884657	20160930
6		DLAAAA		DIA	"Intelligence Combat Support Agency, Federal Ministry, Military"	"Intelligence Combat Support Agency, Federal Ministry, Military"	0	0	0	0	0	UNIT	JOINT	WSOC	COMSPT	MILINT	AGY		72060759428874342	72060755133884657	20160930
6		DDAAMB		DLSA	"Legal Consul Support Agency, Federal Ministry, Military"	"Legal Consul Support Agency, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC	PRSNL		AGY		72060574745231368	72060755133884657	20160930
6		DSAAAA		DLA	"Logistics Combat Support Agency, Federal Ministry, Military"	"Logistics Combat Support Agency, Federal Ministry, Military"	0	0	0	0	0	UNIT	JOINT	WSOC	COMSPT	LOG	AGY		72060755133863236	72060755133884657	20160930
6		DDAAHB		DSCA	"International Relations and Collaboration Support Agency, Federal Ministry, Military"	"International Relations and Collaboration Support Agency, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			AGY		72060574745231374	72060755133884657	20160930
6		124521		DSS	"Industrial Security and Education Support Agency, Federal Ministry, Military"	"Industrial Security and Education Support Agency, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			AGY		72060574745231375	72060755133884657	20160930
6		DHAAAA		DTRA	"Weapons of Mass Destruction Defense Combat Support Agency, Federal Ministry, Military"	"Weapons of Mass Destruction Defense Combat Support Agency, Federal Ministry, Military"	0	0	0	0	0	UNIT	JOINT	WSOC	COMSPT	CBRN	AGY		72060759428874338	72060755133884657	20160930
6		DDAAUZ		MDA	"System Development Agency, Federal Ministry, Military"	"System Development Agency, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			AGY		72060574745231378	72060755133884657	20160930
6		DMAAAA		NGA	"Intelligence Combat Support Agency, Federal Ministry, Military"	"Intelligence Combat Support Agency, Federal Ministry, Military"	0	0	0	0	0	UNIT	JOINT	WSOC	COMSPT	MILINT	AGY		72060755133863239	72060755133884657	20160930
6				NRO	"Intelligence Agency, Federal Ministry, Military"	"Intelligence Agency, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060755133885061	72060755133884657	20160930
6		DGAAAA		NSA	"Intelligence Combat Support Agency, Federal Ministry, Military"	"Intelligence Combat Support Agency, Federal Ministry, Military"	0	0	0	0	0	UNIT	JOINT	WSOC	COMSPT	MILINT	AGY		72060755133863240	72060755133884657	20160930
6		DDAAPF		PFPA	"Facility Law Enforcement Agency, Federal Ministry, Military"	"Facility Law Enforcement Agency, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			AGY		72060574745231403	72060755133884657	20160930
6		H50000		DHRA	"Human Resources Field Activity, Federal Ministry, Military"	"Human Resources Field Activity, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC	PRSNL		ACT		72060574745231367	72060755133884657	20160930
6		DDAAAF		DMA	"Media Support Field Activity, Federal Ministry, Military"	"Media Support Field Activity, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			ACT		72060574745231362	72060755133884657	20160930
6		DDAABY		DPMO	"Missing Member Accounting Support Field Activity, Federal Ministry, Military"	"Missing Member Accounting Support Field Activity, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC	PRSNL		ACT		72060574745231373	72060755133884657	20160930
6		DTICAA		DTIC	"Information Archive Field Activity, Federal Ministry, Military"	"Information Archive Field Activity, Federal Ministry, Military"	0	0	0	0	0	EXCMIL	CVLSVC	WSOC			ACT		72060574745231376	72060755133884657	20160930
6		DDAARA		DTSA	"International Military Trade Policy Field Activity, Federal Ministry, Military"	"International Military Trade Policy Field Activity, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			ACT		72060574745231377	72060755133884657	20160930
6		DDAATR		DoD TRMC	"Testing Support Field Activity, Federal Ministry, Military"	"Testing Support Field Activity, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			ACT		72060574745231371	72060755133884657	20160930
6		HE1254		DoD EA	"Scholastic Education System Field Activity, Federal Ministry, Military"	"Scholastic Education System Field Activity, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC	PRSNL		ACT		72060574745231369	72060755133884657	20160930
6		DDAAUM		OEA	"Installation Change Support Field Activity, Federal Ministry, Military"	"Installation Change Support Field Activity, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			ACT		72060574745231393	72060755133884657	20160930
6		DDAAFC		TMA	"Military Health System Field Activity, Federal Ministry, Military"	"Military Health System Field Activity, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			ACT		72060574745231404	72060755133884657	20160930
6		DDAAD		WHS	"Adminstrative Support Field Activity, Federal Ministry, Military"	"Adminstrative Support Field Activity, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			ACT		72060574745231406	72060755133884657	20160930
5				DC NG	"State Ministry, Military / National Guard"	"State Ministry, Military / National Guard"						EXCMIL	JOINT	NG_FED	HQ				72060755133860625	72060755133863247	20160930
6				JFHQ-DC	Joint Force Headquarters-State	Joint Force Headquarters-State						EXCMIL	JOINT	NG_FED	HQ		ELEMT		72060772313750201	72060755133860625	20160930
6				DC ANG	State Air National Guard Component	State Air National Guard Component						EXCMIL	AIRFRC	NG_FED	MILSVC		ELEMT		72060561982251903	72060755133860625	20160930
6		W8AHFF		DC ARNG	State Army National Guard Component	State Army National Guard Component						EXCMIL	ARMY	NG_FED	MILSVC		ELEMT		72060772313750039	72060755133860625	20160930
7	W8AHFF	W8AHAA	09/04/16	Army JFHQ DC	Staff Element Joint Force Headquarters (ARNG)	Staff Element Joint Force Headquarters (ARNG)	66	21	63	0	150	EXCMIL	ARMY	NG_FED	MILSVC		ELEMT		72060793789254434	72060772313750039	20160930
7	W8AHFF	W8X8AA	09/01/16	JFHQ Joint DC	Joint Element Joint Force Headquarters (ARNG)	Joint Element Joint Force Headquarters (ARNG)	3	0	0	0	3	EXCMIL	ARMY	NG_FED	MILSVC		ELEMT		72060793887483029	72060772313750039	20160930
7	W8AHFF	W7LXAA	09/03/16	33 CvlST	Civil Support Team (ARNG)	Civil Support Team (ARNG)	7	0	15	0	22	UNIT	ARMY	NG_FED	COMSPT	LOG	TEAM		72060793789254446	72060772313750039	20160930
7	W8AHFF	W786AA	09/02/16	74 Trp Cmd	Troop Command (ARNG)	Troop Command (ARNG)	13	1	16	0	30	UNIT	ARMY	NG_FED	COMSER	ADMIN	CO		72060793789254437	72060772313750039	20160930
8	W786AA	WQA0AA	09/01/16	HHD 372 MP Bn	Headquarters and Headquarters Detachment Military Police Battalion (ARNG)	Headquarters and Headquarters Detachment Military Police Battalion (ARNG)	13	2	49	0	64	UNIT	ARMY	NG_FED	COMSPT	HQSTF	DET		72060793789254436	72060793789254437	20160930
9	WQA0AA	WTJ9AA	09/01/16	273 MP Co	Military Police Company (ARNG)	Military Police Company (ARNG)	5	0	164	0	169	UNIT	ARMY	NG_FED	COMSPT	LAWENF	CO		72060793789254439	72060793789254436	20160930
9	WQA0AA	WTKBAA	09/01/16	275 MP Co	Military Police Company (Guard) (ARNG)	Military Police Company (Guard) (ARNG)	4	0	152	0	156	UNIT	ARMY	NG_FED	COMSPT	LAWENF	CO		72060793789258485	72060793789254436	20160930
8	W786AA	WQBWAA	09/01/16	104 OD Co	Support Maintenance Company (ARNG)	Support Maintenance Company (ARNG)	6	6	130	0	142	UNIT	ARMY	NG_FED	COMSER	MAINT	CO		72060793789254438	72060793789254437	20160930
8	W786AA	WQK2AA	09/01/16	257 Band	Generating Force Army Band (Small) (ARNG)	Generating Force Army Band (Small) (ARNG)	0	1	39	0	40	UNIT	ARMY	NG_FED	COMSER		ACT		72060793789254052	72060793789254437	20160930
8	W786AA	WTKCAA	09/01/16	276 MP Co	Military Police Company (I/R) (ARNG)	Military Police Company (I/R) (ARNG)	4	0	119	0	123	UNIT	ARMY	NG_FED	COMSPT	LAWENF	CO		72060793789254440	72060793789254437	20160930
8	W786AA	WTXCAA	09/02/16	547 TC Co	Transportation Truck Company (Light-Medium) (ARNG)	Transportation Truck Company (Light-Medium) (ARNG)	4	1	159	0	164	UNIT	ARMY	NG_FED	COMSER	TRNPTN	CO		72060793789254447	72060793789254437	20160930
8	W786AA	WY3HAA	09/01/16	715 PAD	Public Affairs Detachment (ARNG)	Public Affairs Detachment (ARNG)	1	0	7	0	8	UNIT	ARMY	NG_FED	COMSPT	INFWAR	DET		72060793789254506	72060793789254437	20160930
8	W786AA	WY59AA	09/01/16	1946 Spt Det	Contingency Contracting Teams (ARNG)	Contingency Contracting Teams (ARNG)	2	0	3	0	5	UNIT	ARMY	NG_FED	COMSER	LOG	TEAM		72060793789254441	72060793789254437	20160930
8	W786AA	W89DAA	09/03/16	AASF 1 DC	Army Aviation Support Facility (ARNG)	Army Aviation Support Facility (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSPT	AV	FAC		72060793789254449	72060793789254437	20160930
8	W786AA	W8U0AA	09/03/16	CSMS 1 DC	Combined Support Maintenance Shop (ARNG)	Combined Support Maintenance Shop (ARNG)	0	0	0	0	0	EXCMIL	ARMY	NG_FED	MILSVC		UN		72060793789254450	72060793789254437	20160930
8	W786AA	W8RUAA	09/02/16	FMS DC	Field Maintenance Shop (ARNG)	Field Maintenance Shop (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSER	MAINT	SHOP		72060793789254445	72060793789254437	20160930
8	W786AA	W8G1AA	09/01/16	LSO	Legal Support Office (ARNG)	Legal Support Office (ARNG)	15	1	6	0	22	EXCMIL	ARMY	NG_FED	MILSVC		OFC		72060793789254453	72060793789254437	20160930
8	W786AA	W8YWAA	09/02/16	MD Det DC	Medical Detachment (ARNG)	Medical Detachment (ARNG)	18	0	22	0	40	UNIT	ARMY	NG_FED	COMSER	MEDCL	DET		72060793789254505	72060793789254437	20160930
8	W786AA	W90JAA	09/01/16	Rec & Ret Bn DC	Recruiting and Retention Battalion (ARNG)	Recruiting and Retention Battalion (ARNG)	3	0	19	0	22	EXCMIL	ARMY	NG_FED	MILSVC		BN		72060793801814279	72060793789254437	20160930
7	W8AHFF	W8F5AA	09/02/16	260 Rgt DC	Regional Training Institute (ARNG)	Regional Training Institute (ARNG)	6	0	25	0	31	UNIT	ARMY	NG_FED	COMSER	ADMIN	BN		72060793789254442	72060772313750039	20160930
7	W8AHFF	WPUYAA	09/01/16	352 JAG Det	Headquarters Legal Operations Detachment (ARNG)	Headquarters Legal Operations Detachment (ARNG)	3	1	5	0	9	EXCMIL	ARMY	NG_FED	MILSVC		DET		72060793796686827	72060772313750039	20160930
7	W8AHFF	W8L5AA	09/01/16	PAD DC	Public Affairs Detachment (ARNG)	Public Affairs Detachment (ARNG)	1	0	4	0	5	UNIT	ARMY	NG_FED	COMSPT	INFWAR	DET		72060793789254452	72060772313750039	20160930
5				JCS	"Military Staff, Headquarters, Federal Ministry, Military"	"Military Staff, Headquarters, Federal Ministry, Military"						EXCMIL	JOINT	WSOC			OFC		72060385766670337	72060755133863247	20160930
5				JCS Ctl Act	"Military Staff, Military Federal Ministry Controlled Activities"	"Military Staff, Military Federal Ministry Controlled Activities"						EXCMIL	JOINT	WSOC			ELEMT		72060742248956138	72060755133863247	20160930
5				JS	"Military Staff, Headquarters, Federal Ministry, Military"	"Military Staff, Headquarters, Federal Ministry, Military"						EXCMIL	JOINT	WSOC			OFC		72060742248956501	72060755133863247	20160930
5				NGB	"Military Staff, National Guard - Headquarters, Federal Ministry, Military"	"Military Staff, National Guard - Headquarters, Federal Ministry, Military"						EXCMIL	JOINT	NG_FED	HQ		OFC		72060385766774386	72060755133863247	20160930
5		WDARFF		DA	U.S. Land Force	U.S. Land Force						EXCMIL	ARMY	WSOC	MILSVC		DEPT		72060772313750012	72060755133863247	20160930
6	WDARFF	W0ZUFF		HQDA	"Headquarters, Land Forces"	"Headquarters, Land Forces"						EXCMIL	ARMY	REGUL	HQ		ELEMT		72060772313750347	72060772313750012	20160930
7	W0ZUFF	W00EFF		SecArmy	Headquarters - Land Forces Staff	Headquarters - Land Forces Staff						EXCMIL	ARMY	WSOC	HQ		OFC		72060772313750348	72060772313750347	20160930
8	W00EFF	W00EAA	10/01/15	IOSA	Immediate Office of the Secretary of The Army	Immediate Office of the Secretary of The Army	17	1	5	14	37	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789333078	72060772313750348	20160930
8	W00EFF	W00FAA	10/02/15	ODUSA	Office of the Deputy Under Secretary of the Army	Office of the Deputy Under Secretary of the Army	7	0	0	20	27	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789311984	72060772313750348	20160930
9	W00FAA	W6W6AA	10/01/15	OBT	Office of Business Transformation	Office of Business Transformation	24	0	0	25	49	EXCMIL	ARMY	REGUL	HQ		OFC		72060793817124305	72060793789311984	20160930
8	W00EFF	W31SAA	10/01/15	OASA CW	Office Assistant Secretary of the Army	Office Assistant Secretary of the Army	2	0	0	22	24	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789311989	72060772313750348	20160930
8	W00EFF	W1B0AA	10/01/15	OASA ALT	Office Assistant Secretary of the Army	Office Assistant Secretary of the Army	6	0	4	210	220	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789311966	72060772313750348	20160930
9	W1B0AA	W27PFF		USAASC	Direct Reporting Unit	Direct Reporting Unit						EXCMIL	ARMY	REGUL	MILSVC		MC		72060794023178237	72060793789311966	20160930
10	W27PFF	W27PAA	02/01/16	HQ USAASC	Headquarters Direct Reporting Unit	Headquarters Direct Reporting Unit	525	0	7	326	858	EXCMIL	ARMY	REGUL	HQ		MC		72060793789311967	72060794023178237	20160930
10	W27PFF	W6DYAA	02/01/16	HQ PEO EIS	Program Executive Office	Program Executive Office	2	0	0	736	738	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789260004	72060794023178237	20160930
10	W27PFF	W6DTAA	04/01/16	PEO Ammo	Program Executive Office	Program Executive Office	1	0	0	250	251	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789254987	72060794023178237	20160930
10	W27PFF	W6ECAA	04/01/16	PEO STRI	Program Executive Office	Program Executive Office	1	0	4	748	753	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789311979	72060794023178237	20160930
10	W27PFF	W6DVAA	02/01/16	PEO MSL & SP	Program Executive Office	Program Executive Office	0	0	0	459	459	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789258739	72060794023178237	20160930
10	W27PFF	W6LUAA	10/02/15	PEO ACWA	Program Executive Office	Program Executive Office	1	0	0	72	73	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789252107	72060794023178237	20160930
10	W27PFF	W6DWAA	02/01/16	PEO CS & CSS	Program Executive Office	Program Executive Office	0	1	0	583	584	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789254994	72060794023178237	20160930
10	W27PFF	W6DRAA	02/01/16	PEO C3T	Program Executive Office	Program Executive Office	0	1	1	518	520	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789259023	72060794023178237	20160930
10	W27PFF	W6DYFF		PEO EIS	Program Executive Office	Program Executive Office						EXCMIL	ARMY	REGUL	HQ		OFC		72060794077359553	72060794023178237	20160930
10	W27PFF	W6DXAA	02/01/16	PEO GCS	Program Executive Office	Program Executive Office	0	0	1	213	214	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789254866	72060794023178237	20160930
10	W27PFF	W6J1AA	02/01/16	PEO Integ	Program Executive Office	Program Executive Office	1	1	2	132	136	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789311978	72060794023178237	20160930
10	W27PFF	W6DPAA	02/01/16	PEO IEW&S	Program Executive Office	Program Executive Office	0	4	2	261	267	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789260288	72060794023178237	20160930
10	W27PFF	W6DSAA	02/01/16	PEO Soldier	Program Executive Office	Program Executive Office	0	0	4	246	250	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789259898	72060794023178237	20160930
10	W27PFF	W6DQAA	04/01/16	PEO AV	Program Executive Office	Program Executive Office	2	3	2	619	626	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789255841	72060794023178237	20160930
8	W00EFF	W00GAA	10/02/15	OASA FMC	Office Assistant Secretary of the Army	Office Assistant Secretary of the Army	20	0	0	256	276	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789311986	72060772313750348	20160930
9	W00GAA	W0NRAA	10/04/15	USAFMCOM	Field Operating Agency	Field Operating Agency	8	0	13	146	167	EXCMIL	ARMY	REGUL	HQ		AG		72060793789311987	72060793789311986	20160930
8	W00EFF	W4P0AA	10/01/15	OASA IEE	Office Assistant Secretary of the Army	Office Assistant Secretary of the Army	3	0	0	58	61	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789311949	72060772313750348	20160930
8	W00EFF	W00SAA	04/01/16	OASA MRA	Office Assistant Secretary of the Army	Office Assistant Secretary of the Army	7	0	1	59	67	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789311954	72060772313750348	20160930
9	W00SAA	W4ZZAA	10/01/15	HQDA DMO	Army Directed Military Overstrength	Army Directed Military Overstrength	184	15	100	0	299	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789255988	72060793789311954	20160930
9	W00SAA	W1YNAA	10/01/15	USAMAA	Field Operating Agency	Field Operating Agency	0	0	0	37	37	EXCMIL	ARMY	REGUL	HQ		AG		72060793789311958	72060793789311954	20160930
9	W00SAA	W6WCAA	10/01/15	Army MRG	Marketing and Research Group	Marketing and Research Group	11	0	2	67	80	EXCMIL	ARMY	REGUL	MILSVC		GROUP		72060793824685911	72060793789311954	20160930
10	W6WCAA	W1KAAA	10/02/15	USAASB	Army Marketing and Engagement Brigade	Army Marketing and Engagement Brigade	3	0	5	17	25	EXCMIL	ARMY	REGUL	MILSVC		BDE		72060793789251903	72060793824685911	20160930
11	W1KAAA	W1DQAA	10/03/15	AMU	Army Marksmanship Unit	Army Marksmanship Unit	2	0	99	37	138	EXCMIL	ARMY	REGUL	MILSVC		UN		72060793789251904	72060793789251903	20160930
11	W1KAAA	W06MAA	10/01/15	MSB	Accessions Mission Support Battalion	Accessions Mission Support Battalion	4	0	42	17	63	EXCMIL	ARMY	REGUL	MILSVC		BN		72060793789251784	72060793789251903	20160930
11	W1KAAA	W027AA	10/02/15	Para Team	Quartermaster Detachment (Division Parachute Office) (DPO)	Quartermaster Detachment (Division Parachute Office) (DPO)	4	6	62	13	85	UNIT	ARMY	REGUL	COMSER	LOG	CO		72060793789251915	72060793789251903	20160930
9	W00SAA	W336AA	10/01/15	ARBA	Field Operating Agency	Field Operating Agency	14	0	2	116	132	EXCMIL	ARMY	REGUL	HQ		AG		72060793789311956	72060793789311954	20160930
9	W00SAA	W40WAA	10/01/15	EEO & CRO	Army Equal Employment Opportunity and Civil Rights Office	Army Equal Employment Opportunity and Civil Rights Office	2	0	0	26	28	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789311957	72060793789311954	20160930
8	W00EFF	W4EBAA	10/01/15	OSBP	Office of Small Buisness Programs	Office of Small Buisness Programs	0	0	0	8	8	EXCMIL	ARMY	REGUL	HQ		OFC		72060793789311955	72060772313750348	20160930
