RELDPTH	PARENTUIC	UIC	EDATE	SHORTDSCR	LONGDSCR	ORGTYPENAME	OFF	WO	ENL	CIV	AUTHTOT	CATCODE	SERVICE	GFMCOMPO	UTCAT	UTARMYCAT	UTSIZE	UTGFMSIZE	ID	PARENTID	FYDATE
8	WTPDAA	WTPDT0		1ST NKN	NKN	NKN						UNIT	ARMY	NG_FED					72060793961519612	72060793789255026	20150930
8	WTPDAA	WTPDA0		2ND NKN	NKN	NKN						UNIT	ARMY	NG_FED					72060793961519781	72060793789255026	20150930
8	WTPDAA	WTPDB0		3RD NKN	NKN	NKN						UNIT	ARMY	NG_FED					72060793961519878	72060793789255026	20150930
8	WTPDAA	WTPDC0		4TH NKN	NKN	NKN						UNIT	ARMY	NG_FED					72060793961519975	72060793789255026	20150930
8	WTPDAA	WTPDD0		5TH NKN	NKN	NKN						UNIT	ARMY	NG_FED					72060793961520072	72060793789255026	20150930
8	WTPDAA	WTPD97	11/05/14	Aug 2-20 SFG	Augmentation Table of Distribution and Allowances (TDA) (ARNG)	Augmentation Table of Distribution and Allowances (TDA) (ARNG)	2	0	23	0	25	UNIT	ARMY	NG_FED	COMSPT	LOG	AUG		72060793801814296	72060793789255026	20150930
8	WTPDAA	WTPD98	11/05/14	Aug 2-20 SFG	Augmentation Special Forces (ARNG)	Augmentation Special Forces (ARNG)	2	0	23	0	25	UNIT	ARMY	NG_FED	SOF	LOG	AUG		72060793801813657	72060793789255026	20150930
8	WTPDAA	WTPD99	11/05/14	Aug 2-20 SFG	Augmentation Table of Distribution and Allowances (TDA) (ARNG)	Augmentation Table of Distribution and Allowances (TDA) (ARNG)	4	0	55	0	59	UNIT	ARMY	NG_FED	COMSPT	LOG	AUG		72060793801814247	72060793789255026	20150930
7	W78NAA	WQJ9AA	09/01/15	41 Band	Generating Force Army Band (Small) (ARNG)	Generating Force Army Band (Small) (ARNG)	0	1	7	0	8	UNIT	ARMY	NG_FED	COMSER		ACT		72060793789255018	72060793789255025	20150930
7	W78NAA	W7L8AA	09/02/15	47 CST	Civil Support Team (ARNG)	Civil Support Team (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSPT	LOG	TEAM		72060793789255023	72060793789255025	20150930
7	W78NAA	WQD9AA	09/01/15	102 PAD	Mobile Public Affairs Detachment (ARNG)	Mobile Public Affairs Detachment (ARNG)	1	0	1	0	2	UNIT	ARMY	NG_FED	COMSER	INFWAR	DET		72060793789257451	72060793789255025	20150930
7	W78NAA	WTBBFF		185 AV Bde	Combat Aviation Brigade (Expeditionary) (ECAB) (ARNG)	Combat Aviation Brigade (Expeditionary) (ECAB) (ARNG)						UNIT	ARMY	NG_FED	COMBAT	AV	BDE		72060794151536447	72060793789255025	20150930
8	WTBBFF	WTBBAA	09/02/15	HHC 185 AV Grp	HHC Combat Aviation Brigade (Expeditionary) (ECAB) (ARNG)	HHC Combat Aviation Brigade (Expeditionary) (ECAB) (ARNG)	21	6	30	0	57	UNIT	ARMY	NG_FED	COMBAT	HQSTF	BDE		72060793789255015	72060794151536447	20150930
8	WTBBFF	WTQGAA	09/01/15	1-185 AV Rgt	Assault Battalion (UH 60) (ARNG)	Assault Battalion (UH 60) (ARNG)	25	58	144	0	227	UNIT	ARMY	NG_FED	COMBAT	AV	BN		72060793789256533	72060794151536447	20150930
9	WTQGAA	WTQGT0		HHC ASLT BN	"HEADQUARTERS AND HEADQUARTERS COMPANY, ASSAULT BATTALION"	"HEADQUARTERS AND HEADQUARTERS COMPANY, ASSAULT BATTALION"						UNIT	ARMY	NG_FED	COMBAT	AV	CO		72060793956521384	72060793789256533	20150930
9	WTQGAA	WTQGA0		ASLT CO UH-60 A	ASSAULT COMPANY (UH-60)	ASSAULT COMPANY (UH-60)						UNIT	ARMY	NG_FED	COMBAT	AV	CO		72060793956521496	72060793789256533	20150930
9	WTQGAA	WTQGB0		ASLT CO UH-60 B	ASSAULT COMPANY (UH-60)	ASSAULT COMPANY (UH-60)						UNIT	ARMY	NG_FED	COMBAT	AV	CO		72060793956521557	72060793789256533	20150930
9	WTQGAA	WTQGC0		ASLT CO UH-60	ASSAULT COMPANY (UH-60)	ASSAULT COMPANY (UH-60)						UNIT	ARMY	NG_FED	COMBAT	AV	CO		72060793956521618	72060793789256533	20150930
9	WTQGAA	WTQGD0		MNT CO UH-60	AVIATION MAINTENANCE COMPANY (AVUM) (UH-60)	AVIATION MAINTENANCE COMPANY (AVUM) (UH-60)						UNIT	ARMY	NG_FED	COMSPT	MAINT	CO		72060793956521679	72060793789256533	20150930
9	WTQGAA	WTQGE0		FSC ASLT BN	"FORWARD SPT CO, ASSAULT BN"	"FORWARD SPT CO, ASSAULT BN"						UNIT	ARMY	NG_FED	COMSER	MAINT	CO		72060793956521798	72060793789256533	20150930
8	WTBBFF	WVGZAA	09/02/15	2-185 AV Rgt	Airfield Operations Battalion (ARNG)	Airfield Operations Battalion (ARNG)	3	1	16	0	20	UNIT	ARMY	NG_FED	COMBAT	AV	BN		72060793789254888	72060794151536447	20150930
7	W78NAA	WY3WFF		1108  AV Grp	Theater Aviation Sustainment Maintenance Group (ARNG)	Theater Aviation Sustainment Maintenance Group (ARNG)						UNIT	ARMY	NG_FED	COMSER	LOG	GROUP		72060794151536549	72060793789255025	20150930
8	WY3WFF	WY3WAA	02/15/15	HQ 1108 AV Grp	Headquarters Theater Aviation Sustainment Maintenance Group (ARNG)	Headquarters Theater Aviation Sustainment Maintenance Group (ARNG)	23	13	66	0	102	UNIT	ARMY	NG_FED	COMSER	AV	GROUP		72060793789255022	72060794151536549	20150930
9	WY3WAA	WY3WT0		HHC TASMG	"HHC, THEATER AVIATION SUSTAINMENT MAINTENANCE GROUP"	"HHC, THEATER AVIATION SUSTAINMENT MAINTENANCE GROUP"						UNIT	ARMY	NG_FED	COMBAT	AV	CO		72060793956596528	72060793789255022	20150930
9	WY3WAA	WY3WA0		AMC TASMG	AVIATION MAINTENANCE COMPANY (THEATER AVIATION SUPPORT MAINTENANCE GROUP)	AVIATION MAINTENANCE COMPANY (THEATER AVIATION SUPPORT MAINTENANCE GROUP)						UNIT	ARMY	NG_FED	COMSPT	MAINT	CO		72060793956596656	72060793789255022	20150930
9	WY3WAA	WY3WB0		NKN	NKN	NKN						UNIT	ARMY	NG_FED					72060793956597013	72060793789255022	20150930
9	WY3WAA	WY3W99	09/01/15	Aug 1108 AV Grp	Augmentation Table of Distribution and Allowances (TDA) (ARNG)	Augmentation Table of Distribution and Allowances (TDA) (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSPT	LOG	AUG		72060793882823187	72060793789255022	20150930
8	WY3WFF	WPFDAA	09/01/15	I-185 AV Rgt	Theater Aviation Company (ARNG)	Theater Aviation Company (ARNG)	3	13	19	0	35	UNIT	ARMY	NG_FED	COMBAT	AV	CO		72060793789252812	72060794151536549	20150930
7	W78NAA	WQAWAA	09/01/15	HHD 112 MP Bn	Headquarters and Headquarters Detachment Military Police Battalion (ARNG)	Headquarters and Headquarters Detachment Military Police Battalion (ARNG)	10	0	29	0	39	UNIT	ARMY	NG_FED	COMSPT	HQSTF	DET		72060793789255038	72060793789255025	20150930
8	WQAWAA	WXFFAA	09/01/15	113 MP Co	Military Police Company (ARNG)	Military Police Company (ARNG)	5	0	145	0	150	UNIT	ARMY	NG_FED	COMSPT	LAWENF	CO		72060793789258480	72060793789255038	20150930
8	WQAWAA	WQA5AA	09/01/15	114 MP Co	Military Police Company (ARNG)	Military Police Company (ARNG)	5	0	145	0	150	UNIT	ARMY	NG_FED	COMSPT	LAWENF	CO		72060793789255039	72060793789255038	20150930
7	W78NAA	WP86AA	09/01/15	HHD 210 FI Bn	Financial Management Support Unit Headquarters (ARNG)	Financial Management Support Unit Headquarters (ARNG)	2	0	7	0	9	UNIT	ARMY	NG_FED	COMSER	HQSTF	UN		72060793789255028	72060793789255025	20150930
8	WP86AA	WPF7AA	09/01/15	220 FI Det	Financial Management Support Detachment (FMSD) (ARNG)	Financial Management Support Detachment (FMSD) (ARNG)	2	0	13	0	15	UNIT	ARMY	NG_FED	COMSER	ADMIN	DET		72060793789255027	72060793789255028	20150930
8	WP86AA	WS9XAA	09/01/15	230 FI Det	Financial Management Support Detachment (FMSD) (ARNG)	Financial Management Support Detachment (FMSD) (ARNG)	2	0	13	0	15	UNIT	ARMY	NG_FED	COMSER	ADMIN	DET		72060793789255029	72060793789255028	20150930
6	W8AGFF	W8GHAA	09/01/15	154 Rgt MS	Regional Training Institute (ARNG)	Regional Training Institute (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSER	ADMIN	BN		72060793789255048	72060772313750090	20150930
7	W8GHAA	W7W1AA	09/02/15	RTS MD	Regional Training Site (ARNG)	Regional Training Site (ARNG)	0	0	0	0	0	EXCMIL	ARMY	NG_FED	MILSVC		ACT		72060793789255044	72060793789255048	20150930
7	W8GHAA	W7WMAA	09/02/15	RTS MS	Regional Training Site (ARNG)	Regional Training Site (ARNG)	0	0	0	0	0	EXCMIL	ARMY	NG_FED	MILSVC		ACT		72060793789255016	72060793789255048	20150930
6	W8AGFF	WTRAFF		155 ABCT	Armored Brigade Combat Team (ABCT) (ARNG)	Armored Brigade Combat Team (ABCT) (ARNG)						UNIT	ARMY	NG_FED	COMBAT	ARMOUR	BDE		72060793789254996	72060772313750090	20150930
7	WTRAFF	WTRAAA	09/01/15	HQ 155 ABCT	Headquarters and Headquarters Company Armored Brigade Combat Team (ABCT) (ARNG)	Headquarters and Headquarters Company Armored Brigade Combat Team (ABCT) (ARNG)	23	5	68	0	96	UNIT	ARMY	NG_FED	COMBAT	HQSTF	CO		72060793789254997	72060793789254996	20150930
7	WTRAFF	WXFGAA	09/02/15	1-198 CAV	Cavalry Squadron (ABCT) (ARNG)	Cavalry Squadron (ABCT) (ARNG)	10	0	147	0	157	UNIT	ARMY	NG_FED	COMBAT	RECCE	SQDRN		72060793789254998	72060793789254996	20150930
8	WXFGAA	WXFGT0		CAV SQDN ABCT	"HEADQUARTERS AND HEADQUARTERS TROOP, CAVALRY SQUADRON (ABCT)"	"HEADQUARTERS AND HEADQUARTERS TROOP, CAVALRY SQUADRON (ABCT)"						UNIT	ARMY	NG_FED	COMBAT	ARMOUR	CO		72060793952501876	72060793789254998	20150930
8	WXFGAA	WXFGA0		1ST CAV TRP ABC	"CAVALRY TROOP, CAVALRY SQUADRON (ABCT)"	"CAVALRY TROOP, CAVALRY SQUADRON (ABCT)"						UNIT	ARMY	NG_FED	COMBAT	ARMOUR	SQUAD		72060793952502119	72060793789254998	20150930
8	WXFGAA	WXFGB0		2ND CAV TRP ABC	"CAVALRY TROOP, CAVALRY SQUADRON (ABCT)"	"CAVALRY TROOP, CAVALRY SQUADRON (ABCT)"						UNIT	ARMY	NG_FED	COMBAT	ARMOUR	SQUAD		72060793952502274	72060793789254998	20150930
8	WXFGAA	WXFGC0		3RD CAV TRP ABC	"CAVALRY TROOP, CAVALRY SQUADRON (ABCT)"	"CAVALRY TROOP, CAVALRY SQUADRON (ABCT)"						UNIT	ARMY	NG_FED	COMBAT	ARMOUR	SQUAD		72060793952502429	72060793789254998	20150930
7	WTRAFF	WPKLAA	09/02/15	1-155 IR	Combined Arms Battalion (ABCT) (ARNG)	Combined Arms Battalion (ABCT) (ARNG)	18	0	255	0	273	UNIT	ARMY	NG_FED	COMBAT	INF	BN		72060793789254999	72060793789254996	20150930
8	WPKLAA	WPKLT0		HHC CAB ABCT	"HHC, COMBINED ARMS BATTALION (ABCT)"	"HHC, COMBINED ARMS BATTALION (ABCT)"						UNIT	ARMY	NG_FED	COMBAT	INF	CO		72060793953547284	72060793789254999	20150930
8	WPKLAA	WPKLA0		RIFLE CO CAB A	"RIFLE COMPANY, COMBINED ARMS BATTALION (ABCT)"	"RIFLE COMPANY, COMBINED ARMS BATTALION (ABCT)"						UNIT	ARMY	NG_FED	COMBAT	INF	CO		72060793953547649	72060793789254999	20150930
8	WPKLAA	WPKLB0		RIFLE CO CAB B	"RIFLE COMPANY, COMBINED ARMS BATTALION (ABCT)"	"RIFLE COMPANY, COMBINED ARMS BATTALION (ABCT)"						UNIT	ARMY	NG_FED	COMBAT	INF	CO		72060793953547834	72060793789254999	20150930
8	WPKLAA	WPKLC0		AR CO CAB ABC C	"ARMOR COMPANY, COMBINED ARMS BATTALION (ABCT)"	"ARMOR COMPANY, COMBINED ARMS BATTALION (ABCT)"						UNIT	ARMY	NG_FED	COMBAT	ARMOUR	CO		72060793953548019	72060793789254999	20150930
8	WPKLAA	WPKLD0		AR CO CAB ABC D	"ARMOR COMPANY, COMBINED ARMS BATTALION (ABCT)"	"ARMOR COMPANY, COMBINED ARMS BATTALION (ABCT)"						UNIT	ARMY	NG_FED	COMBAT	ARMOUR	CO		72060793953548105	72060793789254999	20150930
7	WTRAFF	WX4YAA	09/02/15	1-198 AR	Combined Arms Battalion (ABCT) (ARNG)	Combined Arms Battalion (ABCT) (ARNG)	18	0	255	0	273	UNIT	ARMY	NG_FED	COMBAT	INF	BN		72060793789255003	72060793789254996	20150930
