team_id,T_j_hat,A_hat_min,A_hat_max,L_C,roster_n,perf_span
111,0.17213986561659816,-1.2350045805755023,1.6910473690707533,0.26005106790216953,15,2.9260519496462556
112,0.01270728376331435,-2.135567960179089,1.7941631508183795,0.25059648195275863,15,3.9297311109974684
113,0.3330957399183672,-1.5351923737766981,1.9365447128110413,0.2752503772742057,15,3.4717370865877397
114,0.324934673648154,-1.4998761628118513,3.431551113733992,0.2791074638162188,15,4.931427276545843
115,-0.026511498744350836,-1.112846141070915,1.328137345988552,0.2372710606265232,15,2.4409834870594667
116,0.7870318382632527,-0.934816787374307,3.977347101372529,0.3227268814848185,15,4.912163888746836
117,-0.3698778857769,-1.4653812590787454,1.3051495260193673,0.21100459148449502,15,2.7705307850981127
118,-0.3150003354296946,-1.1949201571510104,1.2093817354913756,0.21300584983654997,15,2.404301892642386
119,-0.030182386204438857,-1.6707610545772378,1.672219542769409,0.23847482285392585,15,3.3429805973466467
120,0.6062425217791129,-1.8223285237952325,3.010508494698549,0.30960756458312305,15,4.832837018493781
121,-0.35011071392603405,-1.4494244328620707,0.8687406422231594,0.2112734220183504,15,2.31816507508523
122,-0.037449948303342744,-1.5918315800410745,1.262784415683502,0.23810727799449125,15,2.8546159957245765
123,0.2530287634101573,-0.8490488464596795,1.1605651999510345,0.2626082224710576,15,2.009614046410714
124,0.29490207336970736,-1.2643252487486425,3.988263021125299,0.2796008159233573,15,5.252588269873941
125,0.18035841720979115,-1.213779181056226,1.4025028674839994,0.2558886696280757,15,2.616282048540225
126,-0.9203958914666835,-2.135567960179089,0.5661221786316708,0.16799002651938805,15,2.70169013881076
127,-0.4085795862343865,-2.135567960179089,1.39090182362626,0.20749178494678755,15,3.526469783805349
128,-0.3144256954065759,-1.5351923737766981,1.9849493859289733,0.21717289818896923,15,3.5201417597056714
129,-0.5183202275070731,-1.8188863321866189,0.7462348545523884,0.1964218821227645,15,2.5651211867390074
130,0.5703720002371878,-0.8256575898465993,2.367248937838844,0.29840010541955164,15,3.192906527685443
131,-0.22065334625776611,-1.7117734286009305,1.4666855582352574,0.2242190051914452,15,3.178458986836188
132,0.913582880053656,-0.8072369752637987,2.927058606241074,0.33588556197752395,15,3.7342955815048726
133,0.22240387144589288,-1.4806127750128442,2.5750712562089024,0.2659555348213498,15,4.055684031221746
134,-0.4104536655851364,-1.4151172564962196,1.7239893809791391,0.20729836852721817,15,3.1391066374753587
135,0.2636627486523065,-1.7117734286009305,1.744217668930702,0.26884988405716354,15,3.4559910975316326
136,-0.5665827236834573,-1.4151172564962196,0.7216939546702468,0.19147763539591828,15,2.1368112111664663
137,0.6541559381475542,-1.2158436576052134,2.2979748317154916,0.30852346769600647,15,3.513818489320705
138,0.4642293986963055,-0.8696597469895513,2.087763751065317,0.28617896585415126,15,2.957423498054868
139,-0.24183157609409908,-2.135567960179089,1.7518397139740345,0.22328282927562632,15,3.8874076741531236
140,-0.3676843274316783,-1.9236706943900097,1.6378745525380627,0.21256016967208952,15,3.5615452469280724
141,-0.057825387696199944,-1.79249619652058,3.492953162343327,0.24615531817676584,15,5.285449358863907
142,0.09420674279692613,-1.4151172564962196,2.007439550606926,0.25508133638661,15,3.4225568071031454
143,-0.2463620023860151,-1.5351923737766981,0.9019700602170396,0.22096085265103282,15,2.4371624339937377
144,-0.6487922568046242,-2.135567960179089,0.9124927092484348,0.18595216645447304,15,3.048060669427524
145,0.09735611489950426,-1.5592073972327933,2.6304905411075845,0.2542800110401131,15,4.189697938340378
146,-0.27343254938320677,-1.2753283139905882,1.9812932037230209,0.21834343396051417,15,3.256621517713609
147,0.6115565723225238,-0.4729894132186213,2.727474289680279,0.3002688068313343,15,3.2004637028989
148,0.9789580385962924,-0.3127408785718295,2.388043474135197,0.3405514943520305,15,2.7007843527070263
149,0.14295366510682653,-1.6209603146913252,2.885755126095455,0.25760744044007533,15,4.50671544078678
150,0.09340557346316194,-1.4169138916674986,1.3646748391297183,0.2512855284771212,15,2.7815887307972167
151,-0.4747278929859435,-1.7117734286009305,0.9863850891133447,0.19982438895660534,15,2.6981585177142753
152,-0.15789923136356201,-2.135567960179089,1.3637640291377047,0.23212854284101667,15,3.4993319893167936
153,-0.3089090289286637,-1.4653812590787454,1.2841713799689307,0.21471744876556118,15,2.749552639047676
154,0.06906696883622364,-2.135567960179089,3.174970731916288,0.2618294707816589,15,5.310538692095378
155,0.03506157086248769,-2.135567960179089,2.1158045090782385,0.2485078291168591,15,4.251372469257328
156,0.036547894742229685,-2.135567960179089,3.683456954182548,0.2528774092741568,15,5.819024914361638
157,-0.40019998169638943,-1.605824795706391,1.3424699196692456,0.2096018018298646,15,2.9482947153756367
158,-0.5423242438444528,-1.7753426083376544,1.0961935606783917,0.19870233720480496,15,2.8715361690160464
159,0.44097828003746625,-1.9297249019839835,2.468208957973775,0.29079852702544584,15,4.397933859957758
160,0.14514523614291966,-1.4151172564962196,0.9578926884027226,0.25161135359991943,15,2.373009944898942
161,0.07798878350576927,-1.6852862703772957,2.3006201436438296,0.2512624795119842,15,3.9859064140211253
162,-0.5934263810238661,-1.4234945902599738,0.8440019936628261,0.19054304720951667,15,2.2674965839228
163,0.3184954094243891,-0.9321062881128964,2.427286496479083,0.2728788338640145,15,3.359392784591979
164,0.33261442444073575,-1.0330989118387552,3.431551113733992,0.2753391562133595,15,4.464650025572747
165,0.12325848100346477,-1.460145425476399,1.390041866354101,0.25242700989755223,15,2.8501872918305002
166,-0.41458048645051837,-1.698931170068259,1.2951496764060026,0.20593787630325883,15,2.9940808464742616
167,-0.7047050587177758,-2.135567960179089,0.9059764439467983,0.18473858808752322,15,3.0415444041258874
168,-0.12594226336302877,-1.354126720734707,1.36932735503487,0.230424314013036,15,2.7234540757695767
169,-0.6276394358765881,-1.3618444931957259,1.3485788855003606,0.18770521351922032,15,2.7104233786960865
170,0.38107490260414434,-1.1181375771154949,1.2350293834176145,0.27551911526716194,15,2.3531669605331094
171,-0.043672529401178585,-1.6209603146913252,1.2876915945873397,0.24147509861585711,15,2.9086519092786647
172,-0.19821562705430884,-1.4684839752875434,1.297690948729399,0.22369914098581267,15,2.7661749240169424
173,0.2019848789110865,-0.6188296366362064,1.6001023552135663,0.2581029683129695,15,2.2189319918497725
174,-0.24996729986686067,-2.135567960179089,2.347236418292098,0.22729417429453813,15,4.482804378471187
