lambda,t,loglik,neg_loglik,mean_topk_overlap,mean_topk_recall,mean_sum_p_on_drafted,per_season_overlap,gamma
3.0,3.0,-7130.382617045668,7130.382617045668,11.0,0.11246052987273157,0.03178573181867528,"[17, 10, 10, 10, 11, 11, 13, 12, 5]",18.0
0.5,10.0,-7287.565226507921,7287.565226507921,12.11111111111111,0.12115959624818541,0.025633922548665814,"[20, 12, 10, 14, 13, 12, 13, 11, 4]",18.0
1.0,10.0,-7290.862868164019,7290.862868164019,10.88888888888889,0.11086000077220245,0.025539341862858594,"[16, 10, 10, 11, 11, 11, 14, 10, 5]",18.0
1.5,10.0,-7294.520101640131,7294.520101640131,10.222222222222221,0.10185748081628665,0.025447819871109476,"[13, 10, 12, 10, 12, 12, 11, 9, 3]",18.0
2.0,10.0,-7298.524248908088,7298.524248908088,10.333333333333334,0.10315644648768875,0.025359292895986343,"[14, 11, 13, 10, 11, 12, 9, 10, 3]",18.0
2.5,10.0,-7302.863051678922,7302.863051678922,10.11111111111111,0.10093773882212118,0.025273694691557394,"[13, 11, 14, 10, 12, 11, 7, 10, 3]",18.0
3.0,10.0,-7307.524660111786,7307.524660111786,10.222222222222221,0.10232689778328816,0.025190956974141282,"[13, 10, 14, 10, 13, 10, 8, 11, 3]",18.0
3.0,0.3,-11532.523605670878,11532.523605670878,12.11111111111111,0.11891196134516761,0.21982767757783142,"[18, 14, 11, 12, 13, 12, 17, 10, 2]",18.0
2.5,0.3,-11561.29262011962,11561.29262011962,12.0,0.11785376028696655,0.21970045067315963,"[18, 14, 11, 11, 13, 12, 17, 10, 2]",18.0
2.0,0.3,-11590.246261521854,11590.246261521854,11.88888888888889,0.11680554225761644,0.2195660126583598,"[18, 13, 11, 11, 13, 12, 17, 10, 2]",18.0
1.5,0.3,-11619.387523176885,11619.387523176885,11.777777777777779,0.11574734119941538,0.21942420930855683,"[18, 13, 10, 11, 13, 12, 17, 10, 2]",18.0
1.0,0.3,-11648.719591506297,11648.719591506297,11.777777777777779,0.11574734119941538,0.2192748630348079,"[18, 13, 10, 11, 13, 12, 17, 10, 2]",18.0
0.5,0.3,-11678.245837672486,11678.245837672486,11.88888888888889,0.1167955592287655,0.21911777299885232,"[18, 14, 10, 11, 13, 12, 17, 10, 2]",18.0
3.0,0.1,-27787.778468694916,27787.778468694916,11.777777777777779,0.11574734119941538,0.2245926678541885,"[18, 13, 10, 11, 13, 12, 17, 10, 2]",18.0
2.5,0.1,-27797.601585897246,27797.601585897246,11.777777777777779,0.11574734119941538,0.22457588745361867,"[18, 13, 10, 11, 13, 12, 17, 10, 2]",18.0
2.0,0.1,-27807.347255789886,27807.347255789886,11.777777777777779,0.11574734119941538,0.22455917087751154,"[18, 13, 10, 11, 13, 12, 17, 10, 2]",18.0
1.5,0.1,-27817.0726429068,27817.0726429068,11.88888888888889,0.1167955592287655,0.22454251634916814,"[18, 14, 10, 11, 13, 12, 17, 10, 2]",18.0
1.0,0.1,-27826.811964750585,27826.811964750585,11.88888888888889,0.1167955592287655,0.22452592201399074,"[18, 14, 10, 11, 13, 12, 17, 10, 2]",18.0
0.5,0.1,-27836.542361668242,27836.542361668242,11.777777777777779,0.11568444811765438,0.2245093859275754,"[18, 14, 10, 11, 13, 12, 16, 10, 2]",18.0
3.0,0.01,-30548.036821370675,30548.036821370675,11.777777777777779,0.11568444811765438,0.2222222222222222,"[18, 14, 10, 11, 13, 12, 16, 10, 2]",18.0
2.5,0.01,-30548.05042149121,30548.05042149121,11.777777777777779,0.11568444811765438,0.2222222222222222,"[18, 14, 10, 11, 13, 12, 16, 10, 2]",18.0
2.0,0.01,-30548.064023947034,30548.064023947034,11.777777777777779,0.11568444811765438,0.2222222222222222,"[18, 14, 10, 11, 13, 12, 16, 10, 2]",18.0
1.5,0.01,-30548.077628748397,30548.077628748397,11.777777777777779,0.11568444811765438,0.2222222222222222,"[18, 14, 10, 11, 13, 12, 16, 10, 2]",18.0
1.0,0.01,-30548.091235905602,30548.091235905602,11.777777777777779,0.11568444811765438,0.2222222222222222,"[18, 14, 10, 11, 13, 12, 16, 10, 2]",18.0
0.5,0.01,-30548.104845429014,30548.104845429014,11.777777777777779,0.11568444811765438,0.2222222222222222,"[18, 14, 10, 11, 13, 12, 16, 10, 2]",18.0
