athlete_id,team_id,distinct_games,total_minutes,game_rows,canonical_team_id,kept
52106,2229,33,1174.0,33,2229,True
52113,2261,27,294.0,27,2261,True
52114,108,30,44.0,30,108,True
52116,2065,32,114.0,32,2065,True
52125,9,34,634.0,34,9,True
52132,2065,32,485.0,32,2065,True
52137,2502,29,884.0,29,2502,True
52152,2582,35,661.0,35,2582,True
52154,55,31,800.0,31,55,True
52166,2520,33,775.0,33,2520,True
52180,2934,33,0.0,33,2934,True
52181,309,36,42.0,36,309,True
52195,2413,34,718.0,34,2413,True
52199,149,33,640.0,33,149,True
52205,6,33,927.0,33,6,True
52223,2377,31,892.0,31,2377,True
52226,2450,34,0.0,34,2450,True
52280,252,35,0.0,35,252,True
52281,253,29,259.0,29,253,True
52284,253,29,11.0,29,253,True
52287,2198,33,1108.0,33,2198,True
52289,2870,31,678.0,31,2870,True
52293,2635,30,579.0,30,2635,True
52299,119,32,126.0,32,119,True
52310,295,35,704.0,35,295,True
52343,2535,32,874.0,32,2535,True
52355,44,33,1232.0,33,44,True
52363,2229,33,380.0,33,2229,True
52370,2542,30,337.0,30,2542,True
52426,2199,35,397.0,35,2199,True
52429,153,38,5.0,38,153,True
52441,2608,31,1068.0,31,2608,True
52456,2226,28,63.0,28,2226,True
52462,2582,35,149.0,35,2582,True
52465,2545,32,713.0,32,2545,True
52483,47,32,104.0,32,47,True
52532,2029,32,997.0,32,2029,True
52532,62,11,0.0,11,2029,False
52537,2029,6,0.0,6,2029,True
52541,3084,30,901.0,30,3084,True
52545,3084,30,113.0,30,3084,True
52547,147,30,463.0,30,147,True
52582,300,34,450.0,34,300,True
52716,163,1,0.0,1,163,True
52717,163,1,0.0,1,163,True
52718,163,30,28.0,30,163,True
52938,218,37,52.0,37,218,True
52942,161,29,548.0,29,161,True
52945,2309,35,12.0,35,2309,True
52978,218,37,786.0,37,218,True
52982,158,31,12.0,31,158,True
52983,158,31,13.0,31,158,True
53005,2005,31,0.0,31,2005,True
53012,2572,29,1022.0,29,2572,True
53020,2413,34,747.0,34,2413,True
53035,526,33,54.0,33,526,True
53104,96,1,0.0,1,96,True
53106,314,35,234.0,35,314,True
53149,213,34,1261.0,34,213,True
53178,2440,31,803.0,31,2440,True
54467,50,29,581.0,29,50,True
54580,2065,32,369.0,32,2065,True
54759,2507,34,90.0,34,2507,True
54868,2016,32,127.0,32,2016,True
54909,2710,28,715.0,28,2710,True
55751,213,34,18.0,34,213,True
55925,314,19,22.0,19,314,True
55958,2430,33,32.0,33,2430,True
55973,2427,31,195.0,31,2427,True
56094,2305,36,14.0,36,2305,True
56113,150,39,1396.0,39,150,True
56114,57,33,327.0,33,57,True
56115,183,31,1050.0,31,183,True
56116,150,39,375.0,39,150,True
56117,164,32,694.0,32,164,True
56118,2460,35,637.0,35,2460,True
56119,258,34,1105.0,34,258,True
56120,258,34,789.0,34,258,True
56121,71,33,119.0,33,71,True
56122,154,32,4.0,32,154,True
56123,252,35,914.0,35,252,True
56124,2803,31,126.0,31,2803,True
56126,42,30,455.0,30,42,True
56127,42,30,727.0,30,42,True
56128,42,30,1036.0,30,42,True
56129,2026,29,571.0,29,2026,True
56130,42,30,990.0,30,42,True
56131,42,30,553.0,30,42,True
56132,42,30,203.0,30,42,True
56133,2619,35,206.0,35,2619,True
56135,235,32,741.0,32,235,True
56136,227,1,0.0,1,227,True
56137,2184,31,713.0,31,2184,True
56138,315,30,426.0,30,315,True
56139,227,33,744.0,33,227,True
56140,277,35,754.0,35,277,True
56141,139,32,401.0,32,139,True
56142,2752,37,1216.0,37,2752,True
56143,2752,37,746.0,37,2752,True
56144,120,35,830.0,35,120,True
56145,2057,33,209.0,33,2057,True
56146,526,33,1053.0,33,526,True
56147,526,33,0.0,33,526,True
56148,526,33,1031.0,33,526,True
56149,2046,30,373.0,30,2046,True
56151,288,31,346.0,31,288,True
56152,2306,32,388.0,32,2306,True
56153,288,31,641.0,31,288,True
56155,2382,35,894.0,35,2382,True
56159,2473,33,0.0,33,2473,True
56160,324,34,33.0,34,324,True
56163,2229,33,1033.0,33,2229,True
56164,2306,32,920.0,32,2306,True
56166,2390,38,906.0,38,2390,True
56167,269,32,883.0,32,269,True
56169,269,32,1053.0,32,269,True
56170,87,38,1351.0,38,87,True
56171,213,34,330.0,34,213,True
56172,221,34,0.0,34,221,True
56174,2217,31,258.0,31,2217,True
56175,356,27,480.0,27,356,True
56177,2463,33,0.0,33,2463,True
56178,2550,31,336.0,31,2550,True
56179,2550,31,735.0,31,2550,True
56180,2182,30,635.0,30,2182,True
56181,222,36,1007.0,36,222,True
56182,2579,33,981.0,33,2579,True
56183,2567,34,551.0,34,2567,True
56185,139,32,834.0,32,139,True
56187,331,34,1032.0,34,331,True
56188,331,34,1142.0,34,331,True
56197,27,31,79.0,31,27,True
56206,193,32,1029.0,32,193,True
56209,99,33,1172.0,33,99,True
56210,2427,31,517.0,31,2427,True
56211,2427,31,578.0,31,2427,True
