athlete_id,team_id,points,minutes,missing_minutes_rows,missing_points_rows,distinct_games,game_rows,ppm
52036,225,98.0,274.0,6,6,31,31,0.35766423357664234
52044,2154,133.0,414.0,13,13,31,31,0.321256038647343
52046,47,494.0,980.0,1,1,32,32,0.5040816326530613
52060,2142,87.0,337.0,8,8,33,33,0.258160237388724
52066,2166,12.0,66.0,14,14,32,32,0.18181818181818182
52069,2506,515.0,1007.0,1,1,32,32,0.5114200595829196
52074,2169,671.0,1095.0,4,4,36,36,0.6127853881278539
52078,2612,344.0,827.0,9,9,34,34,0.4159613059250302
52084,2181,64.0,595.0,3,3,31,31,0.10756302521008404
52087,356,396.0,721.0,9,9,33,33,0.5492371705963939
52094,2379,35.0,341.0,5,5,33,33,0.10263929618768329
52113,2261,69.0,294.0,1,1,27,27,0.23469387755102042
52114,108,5.0,44.0,20,20,30,30,0.11363636363636363
52116,2065,16.0,114.0,16,16,32,32,0.14035087719298245
52125,9,228.0,634.0,1,1,34,34,0.35962145110410093
52132,2065,110.0,485.0,6,6,32,32,0.2268041237113402
52137,2502,339.0,884.0,1,1,29,29,0.3834841628959276
52152,2582,368.0,661.0,5,5,35,35,0.556732223903177
52154,55,272.0,800.0,1,1,31,31,0.34
52181,309,19.0,42.0,30,30,36,36,0.4523809523809524
52195,2413,234.0,718.0,3,3,34,34,0.32590529247910865
52199,149,184.0,640.0,5,5,33,33,0.2875
52287,2198,594.0,1108.0,1,1,33,33,0.5361010830324909
52289,2870,395.0,678.0,3,3,31,31,0.5825958702064897
52293,2635,164.0,579.0,1,1,30,30,0.28324697754749567
52299,119,13.0,126.0,9,9,32,32,0.10317460317460317
52355,44,333.0,1232.0,1,1,33,33,0.2702922077922078
52363,2229,95.0,380.0,5,5,33,33,0.25
52370,2542,44.0,337.0,13,13,30,30,0.13056379821958458
52456,2226,8.0,63.0,15,15,28,28,0.12698412698412698
52462,2582,4.0,149.0,10,10,35,35,0.026845637583892617
52465,2545,273.0,713.0,1,0,32,32,0.38288920056100983
52483,47,22.0,104.0,13,13,32,32,0.21153846153846154
52532,2029,489.0,997.0,4,4,32,32,0.49047141424272817
52545,3084,29.0,113.0,9,9,30,30,0.25663716814159293
52582,300,132.0,450.0,9,9,34,34,0.29333333333333333
52718,163,9.0,28.0,17,17,30,30,0.32142857142857145
52938,218,3.0,52.0,22,22,37,37,0.057692307692307696
52978,218,322.0,786.0,10,10,37,37,0.40966921119592875
53035,526,10.0,54.0,17,17,33,33,0.18518518518518517
53106,314,97.0,234.0,2,2,35,35,0.41452991452991456
53178,2440,191.0,803.0,1,1,31,31,0.23785803237858033
54467,50,200.0,581.0,4,4,29,29,0.3442340791738382
54580,2065,42.0,369.0,5,5,32,32,0.11382113821138211
54759,2507,21.0,90.0,13,13,34,34,0.23333333333333334
54868,2016,14.0,127.0,8,8,32,32,0.11023622047244094
54909,2710,170.0,715.0,2,1,28,28,0.23776223776223776
55925,314,0.0,22.0,10,10,19,19,0.0
55958,2430,7.0,32.0,30,30,33,33,0.21875
55973,2427,58.0,195.0,12,12,31,31,0.29743589743589743
56114,57,117.0,327.0,10,10,33,33,0.3577981651376147
56115,183,381.0,1050.0,1,1,31,31,0.3628571428571429
56117,164,235.0,694.0,4,4,32,32,0.33861671469740634
56120,258,252.0,789.0,1,1,34,34,0.3193916349809886
56121,71,23.0,119.0,14,14,33,33,0.19327731092436976
56123,252,448.0,914.0,1,1,35,35,0.49015317286652077
56124,2803,61.0,126.0,17,17,31,31,0.48412698412698413
56126,42,123.0,455.0,3,3,30,30,0.2703296703296703
56127,42,338.0,727.0,2,2,30,30,0.4649243466299862
56132,42,23.0,203.0,1,1,30,30,0.11330049261083744
56133,2619,79.0,206.0,9,9,35,35,0.38349514563106796
56135,235,282.0,741.0,1,1,32,32,0.3805668016194332
56137,2184,236.0,713.0,1,1,31,31,0.33099579242636745
56138,315,143.0,426.0,5,5,30,30,0.33568075117370894
56141,139,56.0,401.0,4,4,32,32,0.1396508728179551
56144,120,423.0,830.0,7,7,35,35,0.5096385542168674
56145,2057,61.0,209.0,10,10,33,33,0.291866028708134
56148,526,440.0,1031.0,1,1,33,33,0.4267701260911736
56149,2046,107.0,373.0,7,7,30,30,0.2868632707774799
56151,288,124.0,346.0,17,17,31,31,0.3583815028901734
56152,2306,123.0,388.0,3,3,32,32,0.3170103092783505
56153,288,362.0,641.0,6,6,31,31,0.5647425897035881
56155,2382,368.0,894.0,3,3,35,35,0.4116331096196868
56160,324,0.0,33.0,27,27,34,34,0.0
56166,2390,382.0,906.0,6,6,38,38,0.4216335540838852
56167,269,257.0,883.0,1,1,32,32,0.29105322763306907
56171,213,118.0,330.0,18,18,34,34,0.3575757575757576
56174,2217,23.0,258.0,6,6,31,31,0.08914728682170543
56175,356,148.0,480.0,8,8,27,27,0.30833333333333335
56178,2550,89.0,336.0,4,4,31,31,0.2648809523809524
56179,2550,295.0,735.0,1,1,31,31,0.4013605442176871
56181,222,501.0,1007.0,1,1,36,36,0.49751737835153925
56183,2567,286.0,551.0,10,10,34,34,0.5190562613430127
56187,331,257.0,1032.0,1,1,34,34,0.24903100775193798
56188,331,704.0,1142.0,3,3,34,34,0.6164623467600701
56197,27,11.0,79.0,20,20,31,31,0.13924050632911392
56210,2427,113.0,517.0,2,2,31,31,0.218568665377176
56211,2427,210.0,578.0,1,1,31,31,0.3633217993079585
56212,2678,305.0,755.0,2,2,30,30,0.40397350993377484
56221,2086,75.0,392.0,2,2,34,34,0.1913265306122449
56226,77,82.0,337.0,1,1,32,32,0.2433234421364985
56228,2174,49.0,322.0,2,2,33,33,0.15217391304347827
56231,325,555.0,1176.0,1,0,34,34,0.4719387755102041
56235,2026,128.0,355.0,2,2,29,29,0.36056338028169016
56236,13,269.0,583.0,2,2,29,29,0.4614065180102916
56245,2428,52.0,226.0,5,5,33,33,0.23008849557522124
56246,2016,96.0,433.0,2,2,32,32,0.22170900692840648
56248,2261,30.0,159.0,14,14,35,35,0.18867924528301888
56255,2261,195.0,688.0,3,3,35,35,0.28343023255813954
56257,2729,102.0,328.0,11,11,33,33,0.31097560975609756
56259,2546,132.0,600.0,2,2,30,30,0.22
56262,248,439.0,1105.0,1,1,32,32,0.39728506787330314
56264,526,347.0,932.0,3,3,33,33,0.3723175965665236
56269,227,96.0,290.0,1,1,33,33,0.3310344827586207
56272,2116,225.0,680.0,1,1,30,30,0.33088235294117646
56280,2638,87.0,364.0,3,3,33,33,0.23901098901098902
56282,292,377.0,1035.0,1,1,31,31,0.3642512077294686
56286,38,532.0,937.0,3,3,34,34,0.567769477054429
56289,21,154.0,478.0,1,1,36,36,0.32217573221757323
56296,338,164.0,499.0,1,1,32,32,0.3286573146292585
56297,338,123.0,497.0,6,5,32,32,0.24748490945674045
56298,116,122.0,318.0,16,16,30,30,0.3836477987421384
56300,2086,22.0,95.0,15,15,34,34,0.23157894736842105
56304,156,116.0,552.0,5,5,33,33,0.21014492753623187
56305,156,168.0,382.0,2,2,33,33,0.4397905759162304
56306,2640,87.0,384.0,3,3,35,35,0.2265625
56314,171,188.0,643.0,1,1,28,28,0.29237947122861585
56318,171,45.0,176.0,5,5,28,28,0.2556818181818182
56321,399,329.0,781.0,9,9,33,33,0.4212548015364917
56328,172,10.0,164.0,5,5,30,30,0.06097560975609756
56329,172,38.0,229.0,13,13,30,30,0.16593886462882096
56331,172,35.0,146.0,7,7,30,30,0.23972602739726026
56335,2026,13.0,72.0,25,25,29,29,0.18055555555555555
56338,43,226.0,827.0,2,2,32,32,0.27327690447400244
56343,339,140.0,367.0,2,2,36,36,0.3814713896457766
56351,2244,61.0,223.0,13,13,31,31,0.273542600896861
56362,309,558.0,951.0,2,2,36,36,0.5867507886435331
56370,270,163.0,601.0,4,4,30,30,0.27121464226289516
56372,2197,350.0,634.0,6,6,33,33,0.5520504731861199
56375,2520,90.0,297.0,3,3,33,33,0.30303030303030304
56379,2309,362.0,995.0,1,1,35,35,0.36381909547738694
56380,2546,421.0,768.0,4,4,30,30,0.5481770833333334
56382,2006,338.0,660.0,1,1,35,35,0.5121212121212121
56384,2006,10.0,28.0,34,34,35,35,0.35714285714285715
56388,189,342.0,771.0,1,1,33,33,0.44357976653696496
56389,189,11.0,57.0,28,28,33,33,0.19298245614035087
56397,2711,279.0,907.0,6,6,34,34,0.30760749724366043
56400,140,70.0,207.0,25,25,33,33,0.33816425120772947
56402,71,77.0,301.0,8,8,33,33,0.2558139534883721
56405,250,212.0,566.0,9,9,31,31,0.3745583038869258
56406,2287,105.0,445.0,2,2,35,35,0.23595505617977527
56407,2567,493.0,1147.0,1,0,34,34,0.42981691368788144
56411,282,287.0,847.0,1,1,31,31,0.33884297520661155
56413,36,183.0,659.0,2,2,34,34,0.27769347496206376
56416,195,148.0,512.0,1,1,30,30,0.2890625
56419,2724,332.0,1080.0,1,1,35,35,0.3074074074074074
56422,2724,134.0,754.0,3,3,35,35,0.17771883289124668
56423,2437,146.0,407.0,9,9,29,29,0.35872235872235875
