athlete_id,athlete_display_name,season,team_id,minutes,ppm,points,team_short_display_name,Y_draft,lost_at_min20_drop,zeroed_at_min20_ppm0
4431688,Jahmi'us Ramsey,2020,2641,842,0.482185273159,406,Texas Tech,1,False,False
51163,Cameron Bairstow,2013,167,844,0.402843601896,340,New Mexico,1,False,False
4592402,Chris Duarte,2020,2483,844,0.427725118483,361,Oregon,1,False,False
46207,Kelly Olynyk,2013,2250,845,0.67573964497,571,Gonzaga,1,False,False
56357,Johnny O'Bryant III,2013,99,845,0.465088757396,393,LSU,1,False,False
4592402,Chris Duarte,2021,2483,847,0.525383707202,445,Oregon,1,False,False
3134880,Kadeem Allen,2016,12,848,0.33608490566,285,Arizona,1,False,False
3907487,Marquese Chriss,2016,264,848,0.551886792453,468,Washington,1,False,False
4066299,Udoka Azubuike,2018,2305,848,0.55070754717,467,Kansas,1,False,False
3138161,Cody Martin,2016,152,850,0.234117647059,199,NC State,1,False,False
3134907,Kyle Kuzma,2016,254,851,0.454759106933,387,Utah,1,False,False
4397189,Jalen Smith,2019,120,851,0.453584018801,386,Maryland,1,False,False
4397886,Charles Bassey,2021,98,851,0.580493537015,494,Western KY,1,False,False
4566434,Franz Wagner,2021,130,852,0.409624413146,349,Michigan,1,False,False
66327,Jabari Bird,2016,25,855,0.388304093567,332,California,1,False,False
3134907,Kyle Kuzma,2017,254,857,0.530921820303,455,Utah,1,False,False
4278124,Saben Lee,2018,238,857,0.394399066511,338,Vanderbilt,1,False,False
4397667,Filip Petrusev,2020,2250,857,0.67211201867,576,Gonzaga,1,False,False
4431680,Onyeka Okongwu,2020,30,858,0.529137529138,454,USC,1,False,False
4066299,Udoka Azubuike,2020,2305,859,0.495925494761,426,Kansas,1,False,False
57027,Sir'Dominic Pointer,2013,2599,860,0.256976744186,221,St John's,1,False,False
46068,Xavier Thames,2013,21,861,0.332171893148,286,San Diego St,1,False,False
4432813,Jeremiah Robinson-Earl,2021,222,862,0.455916473318,393,Villanova,1,False,False
66327,Jabari Bird,2017,25,863,0.448435689455,387,California,1,False,False
4395630,Devin Vassell,2020,52,863,0.440324449594,380,Florida St,1,False,False
62208,Tyrone Wallace,2016,25,866,0.469976905312,407,California,1,False,False
61572,Taurean Prince,2015,239,868,0.528801843318,459,Baylor,1,False,False
4432165,Jalen Suggs,2021,2250,868,0.496543778802,431,Gonzaga,1,False,False
56440,Larry Nance Jr.,2014,2751,869,0.460299194476,400,Wyoming,1,False,False
51545,Adreian Payne,2014,127,870,0.585057471264,509,Michigan St,1,False,False
4397424,Neemias Queta,2021,328,871,0.497129735936,433,Utah State,1,False,False
4432812,Scottie Lewis,2020,57,872,0.292431192661,255,Florida,1,False,False
4065663,Josh Okogie,2018,59,873,0.500572737686,437,Georgia Tech,1,False,False
4278355,Obi Toppin,2019,2168,873,0.544100801833,475,Dayton,1,False,False
3906671,Caleb Swanigan,2016,2509,875,0.397714285714,348,Purdue,1,False,False
4397688,Trey Murphy III,2020,242,875,0.454857142857,398,Rice,1,False,False
3907823,Terance Mann,2017,52,876,0.335616438356,294,Florida St,1,False,False
56635,DeAndre Daniels,2013,41,877,0.413911060433,363,UConn,1,False,False
45946,Alex Oriakhi,2013,142,878,0.435079726651,382,Missouri,1,False,False
61212,Georges Niang,2013,66,878,0.480637813212,422,Iowa State,1,False,False
3913546,Melvin Frazier Jr.,2017,2655,879,0.391353811149,344,Tulane,1,False,False
61842,Willie Cauley-Stein,2014,96,880,0.286363636364,252,Kentucky,1,False,False
3912292,Jarrell Brantley,2016,232,880,0.410227272727,361,Charleston,1,False,False
4432822,Isaac Okoro,2020,2,881,0.408626560726,360,Auburn,1,False,False
3136194,Tyler Ulis,2015,96,882,0.236961451247,209,Kentucky,1,False,False
3912332,Justin Patton,2017,156,885,0.51186440678,453,Creighton,1,False,False
3155526,Dillon Brooks,2017,2483,886,0.636568848758,564,Oregon,1,False,False
4397183,Aaron Wiggins,2020,120,886,0.363431151242,322,Maryland,1,False,False
4397916,Jason Preston,2019,195,887,0.202931228861,180,Ohio,1,False,False
66332,Bobby Portis,2014,8,888,0.453828828829,403,Arkansas,1,False,False
4277890,Lonnie Walker IV,2018,2390,888,0.414414414414,368,Miami,1,False,False
45577,Lamar Patterson,2013,221,892,0.369955156951,330,Pitt,1,False,False
61438,Richaun Holmes,2015,189,892,0.514573991031,459,Bowling Green,1,False,False
4066636,Markelle Fultz,2017,264,892,0.649103139013,579,Washington,1,False,False
4065651,Frank Jackson,2017,150,895,0.440223463687,394,Duke,1,False,False
4066383,Miles Bridges,2017,127,895,0.528491620112,473,Michigan St,1,False,False
4066851,Miye Oni,2019,43,898,0.553452115813,497,Yale,1,False,False
4278502,Tyler Bey,2020,38,898,0.477728285078,429,Colorado,1,False,False
4277813,Herbert Jones,2021,333,900,0.411111111111,370,Alabama,1,False,False
61231,Joel Bolomboy,2014,2692,904,0.288716814159,261,Weber St,1,False,False
66221,Zach LaVine,2014,26,904,0.386061946903,349,UCLA,1,False,False
3906786,Dylan Windler,2017,2057,904,0.304203539823,275,Belmont,1,False,False
3911566,Justin Wright-Foreman,2017,2275,905,0.640883977901,580,Hofstra,1,False,False
4066851,Miye Oni,2017,43,906,0.411699779249,373,Yale,1,False,False
4277919,Mo Bamba,2018,251,906,0.427152317881,387,Texas,1,False,False
3917376,Jaylen Brown,2016,25,907,0.531422271224,482,California,1,False,False
4397033,Joe Wieskamp,2021,2294,907,0.507166482911,460,Iowa,1,False,False
3150844,Moritz Wagner,2017,130,908,0.504405286344,458,Michigan,1,False,False
51135,Alec Brown,2014,2739,909,0.506050605061,460,Green Bay,1,False,False
4395695,Jared Butler,2019,239,911,0.38199780461,348,Baylor,1,False,False
4395695,Jared Butler,2020,239,911,0.5268935236,480,Baylor,1,False,False
4395695,Jared Butler,2021,239,911,0.551042810099,502,Baylor,1,False,False
66205,George King,2018,38,913,0.453450164294,414,Colorado,1,False,False
4397036,Marcus Zegarowski,2019,156,914,0.365426695842,334,Creighton,1,False,False
4397693,Kessler Edwards,2021,2492,916,0.507641921397,465,Pepperdine,1,False,False
66173,Josh Hart,2015,222,917,0.398037077426,365,Villanova,1,False,False
3912295,Grant Riller,2017,232,918,0.483660130719,444,Charleston,1,False,False
4080610,Hamidou Diallo,2018,96,918,0.404139433551,371,Kentucky,1,False,False
