uni_slug,year,A_hat_min,A_hat_max,T_j_hat,roster_n,perf_span,team_id,season
columbia_university,2021,-0.676999449150429,1.7407877613783693,0.6417935747743702,5,2.4177872105287985,columbia_university,2021
columbia_university,2022,-0.5791817047283655,1.3451353598414484,0.4112756079178622,4,1.9243170645698138,columbia_university,2022
columbia_university,2023,-0.7610025664253705,1.7144226382567003,0.7517572808803394,3,2.475425204682071,columbia_university,2023
columbia_university,2024,-0.40928174124775585,0.8387334245693231,0.19392558889716563,3,1.2480151658170788,columbia_university,2024
drexel_university,2019,-0.4388898865668074,0.3904078642134973,-0.1837213478651752,4,0.8292977507803048,drexel_university,2019
drexel_university,2020,-0.4827437109736482,-0.4166315231658876,-0.46070631503772796,3,0.06611218780776063,drexel_university,2020
drexel_university,2021,-0.676999449150429,-0.3473011931692292,-0.5396251758249291,4,0.3296982559811998,drexel_university,2021
drexel_university,2022,-0.5791817047283655,0.09998902394333352,-0.3527914618377992,4,0.679170728671699,drexel_university,2022
drexel_university,2023,-0.7610025664253705,0.7517572808803394,-0.2567492839901338,3,1.51275984730571,drexel_university,2023
drexel_university,2024,-0.40928174124775585,4.333175888857144,0.8761738795438354,5,4.7424576301049,drexel_university,2024
duke_university,2017,-0.4362501984702358,0.8798118527807548,0.14501054083228504,5,1.3160620512509906,duke_university,2017
duke_university,2018,-0.4870742688305427,0.692762652452444,-0.015139500317348053,7,1.1798369212829867,duke_university,2018
duke_university,2019,-0.4388898865668074,1.2834977496692102,0.18080513599429945,7,1.7223876362360175,duke_university,2019
duke_university,2020,-0.4827437109736482,0.5089391061427609,-0.11086265455499478,8,0.9916828171164092,duke_university,2020
duke_university,2021,-0.676999449150429,1.4110895053971695,-0.17745663705770207,11,2.0880889545475982,duke_university,2021
duke_university,2022,-0.5791817047283655,1.118745116950882,-0.1012467475149477,9,1.6979268216792476,duke_university,2022
duke_university,2023,-0.7610025664253705,0.4767100359156649,-0.3484316989783587,10,1.2377126023410354,duke_university,2023
duke_university,2024,-0.40928174124775585,0.15232508336992967,-0.28968028785695243,12,0.5616068246176855,duke_university,2024
florida_atlantic_university,2021,-0.017602937188029452,-0.017602937188029452,-0.017602937188029452,2,0.0,florida_atlantic_university,2021
florida_atlantic_university,2022,0.32637926683389984,4.854184124645227,2.5902816957395634,2,4.527804857811327,florida_atlantic_university,2022
florida_atlantic_university,2024,-0.40928174124775585,-0.09727794979348611,-0.27200007300787715,5,0.3120037914542697,florida_atlantic_university,2024
florida_international_university,2016,-1.0413849417526708,1.93442445020724,0.4465197542272847,4,2.9758093919599107,florida_international_university,2016
florida_international_university,2017,-0.4362501984702358,0.8798118527807548,0.07920743826973556,5,1.3160620512509906,florida_international_university,2017
