uic,SIMPLENAME,UICTYPE,COMPO,is_top_level,CITY,STATE,BRANCH
WBVEB0,MICoC&E,STRUCTURE,1.0,False,TACOMA,WA,
WBVEB1,WBVEB1,LOCATION,,False,TACOMA,WA,
WBVEB2,WBVEB2,LOCATION,,False,TACOMA,WA,
WBVEB3,WBVEB3,LOCATION,,False,TACOMA,WA,
WBVEB4,WBVEB4,LOCATION,,False,TACOMA,WA,
WBVEB5,WBVEB5,LOCATION,,False,TACOMA,WA,
WBVEB7,WBVEB7,LOCATION,,False,TACOMA,WA,
WBVET0,HHD E-MIB,STRUCTURE,1.0,False,TACOMA,WA,
WBVET1,WBVET1,LOCATION,,False,TACOMA,WA,
WCC9AA,HHC 201MIB,PARENT,1.0,False,TACOMA,WA,MI
WCC999,Aug 201MIB,PARENT,1.0,False,TACOMA,WA,
WH66AA,109 MI Bn,PARENT,,False,TACOMA,WA,MI
WH66A0,CI&HUMINT,STRUCTURE,,False,TACOMA,WA,
WH66B0,MICoC&E,STRUCTURE,,False,TACOMA,WA,
WH66T0,HHD E-MIB,STRUCTURE,,False,TACOMA,WA,
WE4NAA,31 AG Ctr,PARENT,,False,TACOMA,WA,AG
WFNLFF,5 PAD Det,TITULAR,,False,,,
WFNLAA,HHD 5 PAD,PARENT,1.0,False,TACOMA,WA,PI
WKANAA,275 JA Tm,PARENT,1.0,False,TACOMA,WA,JA
WKAPAA,276 JA Tm,PARENT,1.0,False,TACOMA,WA,JA
WKBPAA,283 JA Tm,PARENT,1.0,False,TACOMA,WA,JA
